위도,경도
35.10053257,129.0355744
35.11189578,129.0321901
35.102988,129.0237934
35.10597743,129.0233858
35.10587362,129.031383
35.20730953,129.0845467
35.19963587,129.0971063
35.20921386,129.0704024
35.2007111,129.0755775
35.20574545,129.0662172
35.19379835,129.0924788
35.07830305,129.0732607
35.08770567,129.0429042
35.09195802,129.0662311
35.09224843,129.040022
35.11785,129.0375
35.13482295,129.0435376
35.13739895,129.0612511
35.13719625,129.0559912
35.14120714,129.0490604
35.17442852,129.0625783
35.16384752,129.0610789
35.14710495,129.0554751
35.1632746,129.0394131
35.17901277,129.051664
35.15246689,129.0294877
35.16718715,129.0501347
35.14479061,129.0602359
35.15144279,129.0649948
35.16237786,129.0232489
35.07940189,129.0215035
35.11709113,129.0174547
35.10353648,129.0179628
35.10030921,129.016168
35.13895148,129.0697859
35.12538296,129.1123871
35.13783221,129.1019868
35.15430303,129.1152169
35.15742207,129.1253789
35.1397856,129.0900663
35.12464098,129.0781641
35.11455547,129.0957443
35.11820231,129.0808057
35.18392918,129.1234946
35.1679437,129.1393676
35.16168337,129.1789904
35.1778451,129.1763919
35.19749886,129.1179136
35.18067266,129.200474
35.22541778,129.1467487
35.22901476,129.1602238
35.19490039,129.1304125
35.14573424,129.0009409
35.14202454,128.9877941
35.15195867,128.977223
35.18467699,128.9963431
35.17586651,128.9856046
35.12721412,128.9693304
35.22797528,129.0922919
35.22907495,129.0859692
35.26962,129.0881
35.21609263,129.1164862
35.27231178,129.0929785
35.09952825,128.9882436
35.10448071,128.9652057
35.088564,129.0033856
35.06350785,128.9823983
35.09382491,128.9624332
35.08109004,128.977747
35.18597239,129.1080822
35.18679982,129.0830912
35.18402782,129.0732121
35.17391253,129.0935229
35.17275121,129.1011862
35.17057789,129.1159326
35.19495262,128.9021438
35.21617443,128.936681
35.21191452,128.982656
35.1812037,128.9543399
35.11267711,128.8863503
35.08988581,128.8564105
35.09393316,128.9086261
35.05279554,128.8310375
35.15115249,128.8321644
35.21557847,129.005153
35.19886479,129.0062693
35.20555037,129.0391397
35.23181736,129.0096849
35.24962215,129.0130817
35.24585946,129.2174807
35.26417,129.2324
35.31299471,129.2442563
35.3253316,129.1788799
35.27494748,129.1486454
